capacity_Ah,voltage_V
0.000000000000000000e+00,4.090477554391359405e+00
9.747832364471688252e-06,4.090439283591100761e+00
1.949566472894337650e-05,4.090401071673566591e+00
3.899132945788675301e-05,4.090324768515497311e+00
7.798265891577350602e-05,4.090172725849776647e+00
1.559653178315470120e-04,4.089870275279738898e+00
3.119306356630940241e-04,4.089275728482968830e+00
4.678959534946410632e-04,4.088689591042198757e+00
7.798265891577351415e-04,4.087549671202598489e+00
1.091757224820829111e-03,4.086442423834487414e+00
1.403687860483923081e-03,4.085366912628981773e+00
2.027549131810111021e-03,4.083288989666621127e+00
2.651410403136298961e-03,4.081319899961484587e+00
3.275271674462486900e-03,4.079457688499661394e+00
4.522994217114863214e-03,4.076014918806215803e+00
5.645944505502001332e-03,4.073202967419261356e+00
6.768894793889139450e-03,4.070619387001167766e+00
7.891845082276277568e-03,4.068233123327233081e+00
9.014795370663415686e-03,4.066016727836465172e+00
1.126069594743769192e-02,4.062018109345798322e+00
1.350659652421196816e-02,4.058478135286106792e+00
1.575249710098624439e-02,4.055294818027354253e+00
1.799839767776052063e-02,4.052396178646670677e+00
2.024429825453479687e-02,4.049749158878912070e+00
2.249019883130907310e-02,4.047310725178297375e+00
2.473609940808334934e-02,4.045061037956608097e+00
2.698199998485762557e-02,4.042970502357983165e+00
3.147380113840617805e-02,4.039202175125048200e+00
3.596560229195473052e-02,4.035882391724782359e+00
4.045740344550328299e-02,4.032931033069022675e+00
4.494920459905183546e-02,4.030285660766375955e+00
4.944100575260038793e-02,4.027902256016106186e+00
5.842460805969749982e-02,4.023780285311752358e+00
6.650985013608490259e-02,4.020671993375447784e+00
7.459509221247230537e-02,4.018017940948158007e+00
8.268033428885970815e-02,4.015742614005071154e+00
9.076557636524709705e-02,4.013781008319768695e+00
9.885081844163449982e-02,4.012080754670288130e+00
1.150213025944092915e-01,4.009325272158651643e+00
1.311917867471840971e-01,4.007243719048402930e+00
1.473622708999589026e-01,4.005667068256610897e+00
1.635327550527336804e-01,4.004466096706428502e+00
1.797032392055084582e-01,4.003527389331722475e+00
1.958737233582832360e-01,4.002764046398358921e+00
2.120442075110580138e-01,4.002109226911123585e+00
2.443851758166075971e-01,4.000944302834504640e+00
2.767261441221571805e-01,3.999772275558073353e+00
3.090671124277067916e-01,3.998428682039975257e+00
3.414080807332564027e-01,3.996745033870311659e+00
3.737490490388060138e-01,3.994651928498315741e+00
4.060900173443555694e-01,3.992052816179069374e+00
4.384309856499051250e-01,3.988933889363075469e+00
4.707719539554546806e-01,3.985291306173285086e+00
5.031129222610042362e-01,3.981190118699835523e+00
5.354538905665537918e-01,3.976656633049897138e+00
5.677948588721033474e-01,3.971759083325388406e+00
6.001358271776529030e-01,3.966559582500210901e+00
6.324767954832024586e-01,3.961120251380909618e+00
6.971587320943015698e-01,3.949753390878795400e+00
7.618406687054006809e-01,3.938044989892919290e+00
8.265226053164997921e-01,3.926349200203470335e+00
8.912045419275989033e-01,3.914864424159021805e+00
9.558864785386981255e-01,3.903677855990006940e+00
1.020568415149797348e+00,3.892842908265318425e+00
1.085250351760896459e+00,3.882322216032352724e+00
1.149932288371995570e+00,3.872002739739083488e+00
1.214614224983094681e+00,3.861669553868734894e+00
1.279296161594193793e+00,3.851184919065496537e+00
1.343978098205292904e+00,3.840437494291105480e+00
1.408660034816392015e+00,3.829357429321838424e+00
1.473341971427491126e+00,3.817842830973146029e+00
1.538023908038590237e+00,3.805740691758881411e+00
1.596237650988579393e+00,3.794207114087146504e+00
1.654451393938568549e+00,3.781978996260764614e+00
1.692848704166332929e+00,3.773591094325040807e+00
1.731246014394097310e+00,3.765093098729994203e+00
1.765803593599085231e+00,3.757485846270554930e+00
1.800361172804073151e+00,3.750027862082819130e+00
1.834918752009061071e+00,3.742754337701938105e+00
1.869476331214048992e+00,3.735695404898343952e+00
1.904033910419036912e+00,3.728798661590431607e+00
1.938591489624024833e+00,3.722041172492211558e+00
1.973149068829012753e+00,3.715363198015820601e+00
2.004250890113501882e+00,3.709388864051682777e+00
2.035352711397991232e+00,3.703428852224911694e+00
2.066454532682480583e+00,3.697475639043761753e+00
2.097556353966969933e+00,3.691522818932434724e+00
2.159759996535948190e+00,3.679636286984148796e+00
2.215743274848028577e+00,3.669033411295530289e+00
2.271726553160108963e+00,3.658617160008684088e+00
2.327709831472189350e+00,3.648457180483303475e+00
2.383693109784269737e+00,3.638654957091377096e+00
2.439676388096350124e+00,3.629255029998462057e+00
2.495659666408430510e+00,3.620265277987599895e+00
2.551642944720510897e+00,3.611675953079503731e+00
2.607626223032591284e+00,3.603448254663729422e+00
2.663609501344671671e+00,3.595526087538838844e+00
2.775576057968832444e+00,3.580327828828899328e+00
2.876345958930577318e+00,3.566998060040402319e+00
2.977115859892322192e+00,3.553627407884452083e+00
3.077885760854067065e+00,3.539849037135022414e+00
3.178655661815811939e+00,3.525364254125488372e+00
3.269348572681382237e+00,3.511419013326364080e+00
3.360041483546952534e+00,3.496286895666586680e+00
3.441665103325965980e+00,3.481435200825528042e+00
3.523288723104979425e+00,3.465395397221813667e+00
3.578886602688305274e+00,3.453940662834831699e+00
3.634484482271631123e+00,3.442270775058445142e+00
3.690082361854956972e+00,3.430654604594712609e+00
3.745680241438282820e+00,3.419323934232084472e+00
3.801278121021608669e+00,3.408396885389636477e+00
3.856876000604934518e+00,3.397904723881739031e+00
3.912473880188260367e+00,3.387871776224526066e+00
3.968071759771586215e+00,3.378147735700040677e+00
4.023669639354912064e+00,3.368433394180830653e+00
4.079267518938237913e+00,3.358437384101761847e+00
4.134865398521563762e+00,3.347709356094534350e+00
4.184903490146556493e+00,3.336898776370530229e+00
4.234941581771549224e+00,3.324388273699094398e+00
4.284979673396541955e+00,3.309325320663339731e+00
4.328664455922590193e+00,3.293166607833407866e+00
4.367980760196033430e+00,3.275536116090517424e+00
4.407297064469476666e+00,3.254621169800857139e+00
4.442681738315576112e+00,3.233130867684692600e+00
4.474025663156406374e+00,3.212426895726880449e+00
4.502235195513152988e+00,3.192937828072534678e+00
4.530444727869899602e+00,3.173085658489980254e+00
4.558654260226646215e+00,3.153235223826258427e+00
4.586863792583392829e+00,3.133588364675231830e+00
4.615073324940139443e+00,3.114138431972456544e+00
4.643282857296886057e+00,3.094668146900027672e+00
4.671492389653632671e+00,3.074898525483954259e+00
4.699701922010379285e+00,3.054472855037564827e+00
4.727911454367125899e+00,3.032650860325758480e+00
4.756120986723872512e+00,3.008705744210963040e+00
4.784330519080619126e+00,2.982000564013597366e+00
4.812540051437365740e+00,2.951643745770525129e+00
4.840749583794112354e+00,2.916457622132861083e+00
4.868959116150858968e+00,2.875307564417841633e+00
4.897168648507605582e+00,2.826916915145523568e+00
4.925378180864352196e+00,2.769383435137260818e+00
4.950766759985424592e+00,2.708304494749445013e+00
4.976155339106496989e+00,2.636613177499200766e+00
5.001543918227569385e+00,2.552212016413822226e+00
5.015380714984248200e+00,2.499999999999756639e+00
